Company,Geography, Excel ID 
"Treezo New Material Technology Group Co., Ltd.",APAC,IQ104559025
"Han Kook Steel & Mill Co., Ltd.",APAC,IQ22771094
POSCO Processing&Service,APAC,IQ5476229
SeAH Steel Corporation,APAC,IQ558697831
"POSCO Co., Ltd.",APAC,IQ1775134502
"Shangda Superalloys Co., Ltd.",APAC,IQ115980874
A-One Steels India Limited,APAC,IQ303720404
Shilla Steel Co. Ltd,APAC,IQ99672980
"Shinkwang Co.,Ltd.",APAC,IQ46952895
Dongkuk Steel Mill Company Limited,APAC,IQ1821168242
Pembroke Olive Downs Pty Ltd,APAC,IQ667018785
"Dongkuk CM Co., Ltd.",APAC,IQ1821387856
NMDC Steel Limited,APAC,IQ685658953
Bansal Wire Industries Limited,APAC,IQ107802710
"Worthington Steel, Inc.",N. America,IQ1802757291
Sanathan Textiles Limited,APAC,IQ245182959
Raymond Lifestyle Limited,APAC,IQ707784313
"Anhui Linping Circular Development Co., Ltd.",APAC,IQ116777314
Fedrigoni  S.P.A.,EMEA,IQ1801121243
"Hankuk Paper MFG Co., Ltd",APAC,IQ694583307
Magnera Corporation,N. America,IQ1871267685
Beijing Public Housing Center,APAC,IQ191670237
Casagrand Premier Builder Limited,APAC,IQ216735683
Hangzhou Shangcheng District Urban Construction Investment Group Co. Ltd.,APAC,IQ1790228520
"Jiwoo Co., Ltd",APAC,IQ1832873905
"Lohas Living Co., Ltd.",APAC,IQ263485923
White Korea Corporation Ltd.,APAC,IQ84120931
Beijing North Star Company Limited,APAC,IQ5544877
DLF Home Developers Limited,APAC,IQ37281365
S.A. Heidelberg Materials Benelux N.V.,EMEA,IQ874027
GELEX Infrastructure Joint Stock Company,APAC,IQ549237551
"Chosun Refractories Co.,Ltd.",APAC,IQ1821514499
"Sampyo Ind. Co.,Ltd.",APAC,IQ226495284
JSW Cement Limited,APAC,IQ45529757
"Inmocemento, S.A.",EMEA,IQ1879462455
"Air China Cargo Co., Ltd.",APAC,IQ26078039
Shenzhen Hungtung Supply Chain Management Corp.,APAC,IQ547651439
Abu Dhabi Aviation Co.,EMEA,IQ1880318665
Svitzer Group A/S,EMEA,IQ1871301400
MMC Port Holdings Berhad,APAC,IQ278607240
"Higold Group Co., LTD.",APAC,IQ1789739582
"MarcoPolo Holdings Co., Ltd.",APAC,IQ1784925823
"Yonz Technology Co.,Ltd.",APAC,IQ1764704247
O-I Manufacturing Italy S.p.A.,EMEA,IQ8141704
"Sinokor Petrochemical Co., Ltd.",APAC,IQ239370790
"Sinokor Maritime Co., Ltd.",APAC,IQ107144206
Transrail Lighting Limited,APAC,IQ107479737
Shivalaya Construction Limited,APAC,IQ582870745
Duna Aszfalt Zrt.,EMEA,IQ60835924
